,obj,status,move_cost,reward,reward1,reward2,reward3,reward4,batch,pomo
0,1100.5679,0,254.0,1100.5679,30.0,816.5678100585938,0.0,0.0,0,0
1,1100.2854,0,254.0,1100.2854,33.0,813.2854614257812,0.0,0.0,0,1
2,1107.7861,0,254.0,1107.7861,38.0,815.7860717773438,0.0,0.0,0,2
3,1186.3549,0,249.0,1186.3549,40.0,897.3548583984375,0.0,0.0,0,3
4,1102.468,0,254.0,1102.468,38.0,810.468017578125,0.0,0.0,0,4
5,1100.3434,0,252.0,1100.3434,28.0,820.3433837890625,0.0,0.0,0,5
6,1140.2023,0,258.0,1140.2023,37.0,845.2022705078125,0.0,0.0,0,6
7,1152.8239,0,257.0,1152.8239,47.0,848.8238525390625,0.0,0.0,0,7
8,1101.7263,0,258.0,1101.7263,32.0,811.7263793945312,0.0,0.0,0,8
9,1152.5732,0,258.0,1152.5732,39.0,855.5731811523438,0.0,0.0,0,9
10,1107.3696,0,197.0,1107.3696,66.0,844.3696899414062,0.0,0.0,1,0
11,1066.3092,0,197.0,1066.3092,66.0,802.3092041015625,0.0,1.0,1,1
12,1080.9003,0,197.0,1080.9003,66.0,816.9002685546875,0.0,1.0,1,2
13,1074.4706,0,197.0,1074.4706,69.0,807.4705810546875,0.0,1.0,1,3
14,1080.5302,0,196.0,1080.5302,69.0,814.5301513671875,0.0,1.0,1,4
15,1115.7305,0,199.0,1115.7305,75.0,841.73046875,0.0,0.0,1,5
16,1114.3379,0,197.0,1114.3379,56.0,861.3379516601562,0.0,0.0,1,6
17,1115.1946,0,201.0,1115.1946,84.0,829.1946411132812,0.0,1.0,1,7
18,1090.6494,0,198.0,1090.6494,57.0,835.6494750976562,0.0,0.0,1,8
19,1049.3087,0,201.0,1049.3087,53.0,795.3087158203125,0.0,0.0,1,9
20,1056.6831,0,277.0,1056.6831,54.0,723.6830444335938,0.0,2.0,2,0
21,1126.0532,0,278.0,1126.0532,64.0,710.0532836914062,0.0,74.0,2,1
